date,category,category_enc,month,week_of_year,is_festival,is_weekend,base_price,cost_price,comp_price,price_ratio,margin_pct,sales_last_week,sales_last_month,daily_demand,season_factor,festival_factor,stock,stock_weeks,lead_time,expiry_days,days_to_sell,fraction_at_risk,will_sell_before_expiry,actual_demand_7d,actual_demand_post_disc,demand_cv,elasticity,discount_tier,discount_pct,order_decision,health_score
2022-12-06,Seasonal,4,12,49,0,0,2276.62,1087.81,2415.28,0.943,52.2,12.1,57.5,2.46,3.0,1.0,201,2.68,16,225,81.8,0.0,1,17.2,17.2,0.55,-2.5,0,0,0,62
2021-03-30,Fashion,0,3,13,1,0,3163.95,1662.35,2738.22,1.155,47.5,28.2,102.1,4.04,1.0,1.35,88,2.33,12,729,21.8,0.0,1,28.3,28.3,0.28,-2.0,0,0,0,66
2021-09-13,Seasonal,4,9,37,0,0,1830.3,916.65,1973.95,0.927,49.9,52.1,185.0,5.37,1.0,1.0,26,1.43,21,283,4.8,0.0,1,37.6,37.6,0.55,-2.5,0,0,3,72
2021-06-11,Electronics,2,6,23,0,0,5423.29,3662.32,5131.7,1.057,32.5,5.6,30.2,1.07,1.0,1.0,29,2.94,18,515,27.1,0.0,1,7.5,7.5,0.32,-1.8,0,0,0,73
2023-01-11,FMCG,3,1,2,1,0,180.77,109.12,174.63,1.035,39.6,244.5,1019.2,35.69,1.0,1.25,588,1.99,3,95,16.5,0.0,1,249.8,249.8,0.12,-1.5,0,0,0,74
2021-04-04,FMCG,3,4,13,0,1,662.92,386.67,668.82,0.991,41.7,81.1,333.7,12.51,0.95,1.0,265,3.35,3,208,21.2,0.0,1,87.6,95.5,0.12,-1.5,1,6,0,78
2022-04-22,FMCG,3,4,16,0,0,722.83,457.6,783.52,0.923,36.7,202.2,765.3,28.59,0.95,1.0,530,3.26,2,254,18.5,0.0,1,200.1,227.1,0.12,-1.5,1,9,0,78
2023-07-18,FMCG,3,7,29,0,0,538.97,287.62,573.28,0.94,46.6,85.5,328.0,11.54,1.0,1.0,565,6.87,4,143,48.9,0.0,1,80.8,92.9,0.12,-1.5,1,10,0,82
2022-12-29,FMCG,3,12,52,1,0,476.23,244.81,457.33,1.041,48.6,217.5,826.9,28.97,1.4,1.8,1222,5.49,3,196,42.2,0.0,1,202.8,248.4,0.12,-1.5,1,15,0,81
2021-05-27,Electronics,2,5,21,0,0,29267.87,18259.57,26591.99,1.101,37.6,27.1,120.1,4.01,1.0,1.0,34,1.15,19,690,8.5,0.0,1,28.1,28.1,0.32,-1.8,0,0,3,67
2021-12-17,Fashion,0,12,50,0,0,4662.1,2397.38,5314.78,0.877,48.6,201.8,683.8,25.14,1.5,1.0,220,1.89,13,430,8.8,0.0,1,176.0,176.0,0.28,-2.0,0,0,3,74
2021-12-01,Grocery,1,12,48,0,0,101.36,67.04,114.62,0.884,33.9,254.5,965.3,36.21,1.5,1.0,292,1.34,2,27,8.1,0.0,1,253.5,253.5,0.14,-1.2,0,0,1,72
2022-07-07,Seasonal,4,7,27,0,0,4573.23,2307.43,4851.03,0.943,49.5,20.5,78.8,2.7,1.0,1.0,139,5.61,21,202,51.5,0.0,1,18.9,26.0,0.55,-2.5,1,15,0,77
2022-10-27,Seasonal,4,10,43,1,0,3311.38,1573.66,3607.71,0.918,52.5,88.3,435.2,13.81,1.0,1.45,345,5.83,20,118,25.0,0.0,1,96.7,116.0,0.55,-2.5,1,8,0,85
2021-03-07,Grocery,1,3,9,0,1,65.11,43.34,56.05,1.162,33.4,93.8,387.7,13.8,1.1,1.0,74,0.65,2,28,5.4,0.0,1,96.6,96.6,0.14,-1.2,0,0,2,61
2022-07-03,Fashion,0,7,26,0,1,4165.22,2099.39,3699.21,1.126,49.6,47.4,215.0,7.54,1.3,1.0,91,1.53,6,396,12.1,0.0,1,52.8,52.8,0.28,-2.0,0,0,1,69
2022-10-07,Fashion,0,10,40,0,0,2796.37,1485.14,2911.66,0.96,46.9,134.2,443.3,16.71,1.6,1.0,265,2.75,8,691,15.9,0.0,1,117.0,117.0,0.28,-2.0,0,0,0,76
2023-03-22,Grocery,1,3,12,1,0,230.71,130.51,197.86,1.166,43.4,236.0,1016.3,36.81,1.1,1.35,1169,4.07,3,32,31.8,0.0,1,257.7,279.3,0.14,-1.2,1,7,0,71
2022-06-27,Fashion,0,6,26,0,0,1475.14,785.34,1570.11,0.94,46.8,51.9,294.3,9.1,0.7,1.0,143,3.68,7,432,15.7,0.0,1,63.7,80.3,0.28,-2.0,1,13,0,79
2022-06-23,Grocery,1,6,25,0,0,190.87,133.91,163.06,1.171,29.8,33.8,144.0,5.16,1.0,1.0,159,3.88,3,40,30.8,0.0,1,36.1,40.9,0.14,-1.2,1,11,0,71
2023-03-29,Electronics,2,3,13,1,0,24199.59,13938.49,23719.36,1.02,42.4,32.2,125.7,4.7,1.0,1.35,224,9.34,15,477,47.7,0.0,1,32.9,44.2,0.32,-1.8,2,19,-1,90
2023-11-10,Electronics,2,11,45,0,0,25653.18,17405.0,26874.48,0.955,32.2,13.1,50.1,1.86,2.2,0.75,47,3.19,17,411,25.3,0.0,1,13.0,14.2,0.32,-1.8,1,5,0,78
2021-08-13,Seasonal,4,8,32,0,0,3664.11,1678.99,3821.62,0.959,54.2,46.5,163.0,5.93,1.0,1.2,171,4.71,9,171,28.8,0.0,1,41.5,57.1,0.55,-2.5,1,15,0,82
2023-05-15,Seasonal,4,5,20,0,0,1575.85,646.74,1387.12,1.136,59.0,2.5,9.6,0.37,1.0,1.0,20,3.4,16,122,53.8,0.0,1,2.6,3.3,0.55,-2.5,1,11,0,66
2023-02-21,FMCG,3,2,8,0,0,67.45,41.97,63.04,1.07,37.8,60.2,240.5,8.41,1.0,1.0,326,5.82,5,330,38.7,0.0,1,58.9,66.9,0.12,-1.5,1,9,0,80
2021-01-24,FMCG,3,1,3,0,1,261.53,137.73,281.19,0.93,47.3,250.3,910.2,33.21,1.0,1.0,555,2.67,2,334,16.7,0.0,1,232.5,232.5,0.12,-1.5,0,0,0,76
2022-07-01,Grocery,1,7,26,0,0,466.76,336.85,456.82,1.022,27.8,156.7,650.9,22.37,1.0,1.0,304,1.96,3,24,13.6,0.0,1,156.6,156.6,0.14,-1.2,0,0,0,74
2021-08-17,FMCG,3,8,33,0,0,290.04,183.98,280.4,1.034,36.6,36.5,148.3,5.19,1.0,1.2,137,3.52,4,282,26.4,0.0,1,36.3,40.1,0.12,-1.5,1,7,0,79
2023-07-19,FMCG,3,7,29,0,0,386.33,210.16,366.47,1.054,45.6,169.2,706.2,25.23,1.0,1.0,896,5.04,2,194,35.5,0.0,1,176.6,211.0,0.12,-1.5,1,13,0,79
2022-01-01,Electronics,2,1,52,0,1,22634.44,15462.85,21622.1,1.047,31.7,2.9,13.5,0.47,0.6,1.0,17,3.78,18,419,36.1,0.0,1,3.3,4.2,0.32,-1.8,1,15,0,79
2022-09-04,Fashion,0,9,35,0,1,3593.55,1656.32,3940.54,0.912,53.9,54.4,267.4,8.57,1.0,1.0,403,6.84,13,383,47.0,0.0,1,60.0,68.4,0.28,-2.0,1,7,0,83
2023-02-05,Fashion,0,2,5,0,1,3951.59,2109.2,3861.76,1.023,46.6,50.1,195.9,7.17,1.0,1.0,196,2.68,7,723,27.3,0.0,1,50.2,50.2,0.28,-2.0,0,0,0,76
2021-01-02,Fashion,0,1,53,0,1,857.44,400.96,895.82,0.957,53.2,27.4,127.5,4.9,0.5,1.0,124,4.03,14,511,25.3,0.0,1,34.3,42.5,0.28,-2.0,1,12,0,80
2021-02-09,Seasonal,4,2,6,0,0,1728.78,941.29,1475.77,1.171,45.6,10.4,35.2,1.44,0.3,1.0,57,3.25,8,275,39.5,0.0,1,10.1,12.4,0.55,-2.5,1,9,0,67
2022-05-06,Seasonal,4,5,18,0,0,3376.04,1669.15,3574.3,0.945,50.6,66.2,317.2,9.76,1.0,1.0,213,7.1,7,213,21.8,0.0,1,68.3,92.2,0.55,-2.5,1,14,0,89
2021-06-11,Electronics,2,6,23,0,0,14590.96,8436.76,14432.06,1.011,42.2,17.4,77.9,2.36,1.0,1.0,24,1.48,11,613,10.2,0.0,1,16.5,16.5,0.32,-1.8,0,0,3,72
2021-05-22,Grocery,1,5,20,0,1,410.62,282.07,369.06,1.113,31.3,201.4,763.7,27.43,1.0,1.0,905,4.92,3,52,33.0,0.0,1,192.0,208.1,0.14,-1.2,1,7,0,79
2021-09-20,Seasonal,4,9,38,0,0,747.7,302.04,719.99,1.038,59.6,75.7,376.7,11.17,1.0,1.0,34,0.69,17,333,3.0,0.0,1,78.2,78.2,0.55,-2.5,0,0,3,70
2021-12-05,Grocery,1,12,48,0,1,151.24,84.89,167.79,0.901,43.9,284.8,1086.6,41.6,1.5,1.0,2281,9.14,2,36,54.8,0.343,0,291.2,389.0,0.14,-1.2,2,28,-1,77
2022-03-10,Fashion,0,3,10,0,0,4783.04,2587.27,4393.67,1.089,45.9,65.9,236.2,9.0,1.0,1.0,45,0.8,13,385,5.0,0.0,1,63.0,63.0,0.28,-2.0,0,0,3,66
2022-10-01,Electronics,2,10,39,0,1,38843.37,24394.59,42947.34,0.904,37.2,45.9,213.9,7.84,1.9,1.0,275,6.18,16,708,35.1,0.0,1,54.9,69.7,0.32,-1.8,1,15,0,87
2023-02-04,Fashion,0,2,5,0,1,3848.15,2089.72,4083.75,0.942,45.7,11.0,43.8,1.89,1.0,1.0,148,6.34,12,709,78.5,0.0,1,13.2,16.4,0.28,-2.0,1,12,0,74
2021-09-05,Seasonal,4,9,35,0,1,2414.41,1151.91,2619.87,0.922,52.3,37.7,171.5,5.41,1.0,1.0,160,5.96,10,205,29.6,0.0,1,37.9,43.6,0.55,-2.5,1,6,0,86
2022-11-24,Grocery,1,11,47,0,0,240.39,179.33,239.86,1.002,25.4,124.0,464.5,17.27,1.4,1.0,106,0.96,1,40,6.1,0.0,1,120.9,120.9,0.14,-1.2,0,0,2,71
2022-04-17,Fashion,0,4,15,0,1,1923.64,1124.4,1908.61,1.008,41.5,42.3,182.2,6.83,1.0,1.0,107,1.9,14,405,15.7,0.0,1,47.8,47.8,0.28,-2.0,0,0,0,74
2021-01-15,Fashion,0,1,2,1,0,865.99,449.55,789.7,1.097,48.1,15.7,70.9,2.49,0.5,1.25,280,13.09,6,240,112.6,0.0,1,17.4,25.1,0.28,-2.0,2,22,-1,77
2021-05-19,Seasonal,4,5,20,0,0,5563.8,2276.49,5191.38,1.072,59.1,45.4,170.3,7.63,1.0,1.0,74,1.51,21,106,9.7,0.0,1,53.4,53.4,0.55,-2.5,0,0,3,69
2022-11-08,Electronics,2,11,45,1,0,31294.1,18943.48,30942.37,1.011,39.5,238.5,707.9,22.83,2.2,2.2,640,4.31,11,628,28.0,0.0,1,159.8,182.8,0.32,-1.8,1,8,0,81
2022-07-25,Fashion,0,7,30,0,0,2401.84,1272.72,2216.28,1.084,47.0,24.9,110.4,4.17,1.3,1.0,83,2.34,12,399,19.9,0.0,1,29.2,29.2,0.28,-2.0,0,0,0,71
2021-09-28,Grocery,1,9,39,0,0,77.49,56.42,79.67,0.973,27.2,178.3,683.5,25.33,1.0,1.0,384,2.7,3,59,15.2,0.0,1,177.3,177.3,0.14,-1.2,0,0,0,76
2023-08-27,Electronics,2,8,34,0,1,37526.28,23069.24,33333.62,1.126,38.5,4.2,26.6,0.87,1.0,1.0,112,8.3,13,607,128.5,0.0,1,6.1,9.2,0.32,-1.8,2,28,-1,71
2022-01-25,Seasonal,4,1,4,0,0,3830.76,1668.62,3373.12,1.136,56.4,1.6,6.5,0.27,0.3,1.0,6,1.62,8,139,22.1,0.0,1,1.9,1.9,0.55,-2.5,0,0,0,69
2023-06-02,Fashion,0,6,22,0,0,4513.8,2085.53,4546.99,0.993,53.8,26.9,106.4,3.71,0.7,1.0,98,3.71,10,613,26.4,0.0,1,26.0,31.7,0.28,-2.0,1,11,0,79
2023-08-15,Grocery,1,8,33,0,0,102.03,69.76,115.17,0.886,31.6,235.6,1012.1,35.3,1.0,1.2,103,0.71,3,6,2.9,0.0,1,247.1,247.1,0.14,-1.2,0,0,3,70
2021-07-21,Grocery,1,7,29,0,0,224.21,146.08,206.88,1.084,34.8,37.5,164.6,5.81,1.0,1.0,33,0.8,1,28,5.7,0.0,1,40.7,40.7,0.14,-1.2,0,0,2,66
2022-11-26,Electronics,2,11,47,0,1,27096.41,15113.66,25768.18,1.052,44.2,14.7,46.4,1.86,2.2,1.0,107,6.08,11,492,57.6,0.0,1,13.0,14.9,0.32,-1.8,1,8,0,73
2022-01-25,FMCG,3,1,4,0,0,496.73,283.5,483.59,1.027,42.9,106.5,437.6,14.79,1.0,1.0,332,3.11,5,131,22.5,0.0,1,103.5,120.6,0.12,-1.5,1,11,0,77
2022-01-11,FMCG,3,1,2,1,0,154.83,95.88,140.97,1.098,38.1,68.0,287.2,9.54,1.0,1.25,307,3.73,4,296,32.2,0.0,1,66.8,74.8,0.12,-1.5,1,8,0,75
2021-06-04,Grocery,1,6,22,0,0,441.06,277.2,482.95,0.913,37.2,80.7,290.1,10.74,1.0,1.0,157,1.58,2,54,14.6,0.0,1,75.2,75.2,0.14,-1.2,0,0,0,73
2021-07-20,Electronics,2,7,29,0,0,12377.65,8477.9,11946.5,1.036,31.5,20.5,119.4,3.84,1.0,1.0,76,3.28,10,698,19.8,0.0,1,26.9,33.2,0.32,-1.8,1,13,0,78
2021-01-31,Fashion,0,1,4,0,1,4030.92,2188.83,4071.38,0.99,45.7,34.8,153.1,5.87,0.5,1.0,67,1.84,6,422,11.4,0.0,1,41.1,41.1,0.28,-2.0,0,0,0,74
2021-12-07,FMCG,3,12,49,0,0,75.15,44.0,81.07,0.927,41.5,319.7,1254.2,46.43,1.4,1.0,1945,6.23,5,308,41.9,0.0,1,325.0,383.5,0.12,-1.5,1,12,0,83
2022-03-14,FMCG,3,3,11,0,0,162.44,86.81,173.27,0.937,46.6,208.4,933.3,33.0,1.0,1.0,1552,8.24,5,90,47.0,0.0,1,231.0,300.3,0.12,-1.5,2,20,-1,87
2023-02-16,Grocery,1,2,7,0,0,107.17,78.42,109.85,0.976,26.8,95.9,358.6,13.44,1.0,1.0,423,4.59,1,27,31.5,0.143,0,94.1,104.3,0.14,-1.2,1,9,0,77
2023-07-21,Electronics,2,7,29,0,0,30960.87,17112.58,34417.25,0.9,44.7,54.4,219.3,7.51,1.0,1.0,424,11.31,14,581,56.4,0.0,1,52.6,81.0,0.32,-1.8,2,30,-1,89
2021-11-14,Fashion,0,11,45,0,1,3007.56,1627.11,2939.11,1.023,45.9,76.4,331.1,10.83,1.8,0.75,101,1.23,8,483,9.3,0.0,1,75.8,75.8,0.28,-2.0,0,0,1,72
2022-03-22,Electronics,2,3,12,1,0,20550.53,11471.6,19534.49,1.052,44.2,9.9,43.7,1.47,1.0,1.35,237,5.38,10,661,161.1,0.0,1,10.3,12.7,0.32,-1.8,1,13,0,61
2021-05-05,Grocery,1,5,18,0,0,374.0,239.53,343.1,1.09,36.0,70.6,347.2,12.43,1.0,1.0,227,2.23,3,23,18.3,0.0,1,87.0,87.0,0.14,-1.2,0,0,0,71
2021-04-28,Seasonal,4,4,17,0,0,2492.17,1213.91,2591.06,0.962,51.3,6.2,31.1,1.14,1.0,1.0,7,1.2,7,334,6.1,0.0,1,8.0,8.0,0.55,-2.5,0,0,3,72
2023-10-27,Seasonal,4,10,43,1,0,3261.07,1595.67,2837.53,1.149,51.1,32.6,140.8,5.53,1.0,1.45,214,3.19,21,361,38.7,0.0,1,38.7,45.5,0.55,-2.5,1,7,0,72
2021-04-27,Fashion,0,4,17,0,0,2517.71,1346.29,2189.68,1.15,46.5,8.1,40.8,1.63,1.0,1.0,527,8.26,13,262,323.6,0.19,0,11.4,16.0,0.28,-2.0,2,20,-1,61
2021-05-21,Electronics,2,5,20,0,0,8605.93,4968.11,9539.98,0.902,42.3,27.6,157.0,4.8,1.0,1.0,34,0.88,19,399,7.1,0.0,1,33.6,33.6,0.32,-1.8,0,0,3,71
2022-04-27,Fashion,0,4,17,0,0,1032.92,575.75,1082.17,0.954,44.3,8.7,34.0,1.23,1.0,1.0,15,1.55,11,302,12.2,0.0,1,8.6,8.6,0.28,-2.0,0,0,0,73
2022-05-20,Fashion,0,5,20,0,0,3366.91,1635.4,2962.32,1.137,51.4,19.7,91.3,2.97,1.0,1.0,122,4.8,14,220,41.1,0.0,1,20.8,26.6,0.28,-2.0,1,14,0,76
2021-06-17,FMCG,3,6,24,0,0,203.74,110.83,227.96,0.894,45.6,42.8,179.4,6.6,1.0,1.0,23,0.71,5,358,3.5,0.0,1,46.2,46.2,0.12,-1.5,0,0,3,70
2023-12-07,Grocery,1,12,49,0,0,303.34,183.1,314.64,0.964,39.6,202.5,795.2,28.51,1.5,1.0,72,0.51,2,19,2.5,0.0,1,199.6,199.6,0.14,-1.2,0,0,2,70
2022-02-23,FMCG,3,2,8,0,0,155.08,97.74,154.5,1.004,37.0,295.9,1073.4,37.43,1.0,1.0,471,2.08,4,182,12.6,0.0,1,262.0,262.0,0.12,-1.5,0,0,0,74
2022-06-28,Grocery,1,6,26,0,0,86.89,62.3,99.52,0.873,28.3,131.3,496.7,18.5,1.0,1.0,202,1.77,2,11,10.9,0.0,1,129.5,129.5,0.14,-1.2,0,0,0,73
2022-09-07,Grocery,1,9,36,0,0,286.01,194.57,314.3,0.91,32.0,71.9,315.8,11.04,1.0,1.0,568,9.94,2,23,51.4,0.553,0,77.3,93.1,0.14,-1.2,2,17,-1,74
2021-01-20,Seasonal,4,1,3,1,0,2802.24,1281.94,2818.14,0.994,54.3,1.8,6.0,0.24,0.3,1.25,12,4.11,14,141,49.4,0.0,1,1.7,2.0,0.55,-2.5,1,6,0,74
2022-03-13,Grocery,1,3,10,0,1,206.86,125.72,197.9,1.045,39.2,147.8,509.4,18.43,1.1,1.0,707,4.3,3,19,38.4,0.505,0,129.0,158.4,0.14,-1.2,2,19,0,64
2022-12-16,Seasonal,4,12,50,0,0,4528.15,1957.25,3891.29,1.164,56.8,62.5,144.5,5.24,3.0,1.0,100,1.72,21,125,19.1,0.0,1,36.7,36.7,0.55,-2.5,0,0,3,64
2022-05-16,Grocery,1,5,20,0,0,390.04,222.84,340.33,1.146,42.9,110.3,486.9,17.69,1.0,1.0,1994,13.2,2,21,112.7,0.814,0,123.8,153.5,0.14,-1.2,2,20,-1,53
2023-06-17,FMCG,3,6,24,0,1,649.56,392.47,605.16,1.073,39.6,137.4,564.3,19.71,1.0,1.0,243,1.52,4,330,12.3,0.0,1,138.0,138.0,0.12,-1.5,0,0,0,69
2021-01-17,Fashion,0,1,2,1,1,2845.93,1653.32,3044.2,0.935,41.9,56.8,255.3,8.66,0.5,1.25,314,7.61,13,486,36.3,0.0,1,60.6,78.8,0.28,-2.0,1,15,0,91
2021-08-01,Electronics,2,8,30,0,1,11838.48,8265.04,13415.58,0.882,30.2,6.1,20.4,0.83,1.0,1.0,17,3.83,12,500,20.5,0.0,1,5.8,6.4,0.32,-1.8,1,6,0,79
2021-08-08,Seasonal,4,8,31,0,1,685.7,346.01,644.01,1.065,49.5,46.8,246.2,7.67,1.0,1.2,449,6.71,18,169,58.5,0.0,1,53.7,65.8,0.55,-2.5,1,9,0,75
2022-08-01,FMCG,3,8,31,0,0,77.76,45.83,71.46,1.088,41.1,49.7,178.8,6.6,1.0,1.0,184,3.25,3,235,27.9,0.0,1,46.2,51.7,0.12,-1.5,1,8,0,74
2022-06-25,Fashion,0,6,25,0,1,1780.86,945.5,1936.18,0.92,46.9,22.0,113.7,3.87,0.7,1.0,118,5.44,13,680,30.5,0.0,1,27.1,32.0,0.28,-2.0,1,9,0,84
2021-04-15,Fashion,0,4,15,0,0,4388.46,1988.81,4881.77,0.899,54.7,102.2,299.8,11.04,1.0,1.0,83,1.8,6,613,7.5,0.0,1,77.3,77.3,0.28,-2.0,0,0,0,73
2022-07-21,Seasonal,4,7,29,0,0,5911.46,3045.83,5765.62,1.025,48.5,34.8,131.5,5.41,1.0,1.0,38,1.35,7,91,7.0,0.0,1,37.9,37.9,0.55,-2.5,0,0,0,72
2022-11-15,Grocery,1,11,46,0,0,162.23,96.81,139.94,1.159,40.3,22.6,78.2,2.91,1.4,0.75,64,2.64,1,43,22.0,0.0,1,20.4,20.4,0.14,-1.2,0,0,0,67
2022-06-21,Grocery,1,6,25,0,0,475.98,336.65,417.35,1.14,29.3,77.7,306.8,10.26,1.0,1.0,1642,17.25,1,50,160.1,0.688,0,71.8,96.8,0.14,-1.2,2,29,-1,54
2023-05-26,Electronics,2,5,21,0,0,12302.05,7091.88,11270.47,1.092,42.4,14.0,43.1,1.63,1.0,1.0,16,1.63,18,369,9.8,0.0,1,11.4,11.4,0.32,-1.8,0,0,3,69
2021-08-18,FMCG,3,8,33,0,0,165.42,102.95,151.75,1.09,37.8,86.9,368.2,13.07,1.0,1.2,1704,17.92,2,136,130.4,0.0,1,91.5,113.5,0.12,-1.5,2,16,-1,76
2023-01-27,Seasonal,4,1,4,0,0,1959.8,821.99,2188.36,0.896,58.1,30.5,137.4,3.69,0.3,1.0,59,3.42,16,165,16.0,0.0,1,25.8,32.9,0.55,-2.5,1,11,0,78
2021-09-19,Fashion,0,9,37,0,1,2218.73,1122.46,2058.82,1.078,49.4,55.5,184.4,7.23,1.0,1.0,83,1.39,5,495,11.5,0.0,1,50.6,50.6,0.28,-2.0,0,0,0,68
2023-01-17,Fashion,0,1,3,1,0,4299.67,2254.2,4274.63,1.006,47.6,44.3,186.7,5.77,0.5,1.25,58,1.84,5,546,10.0,0.0,1,40.4,40.4,0.28,-2.0,0,0,0,74
2022-03-07,Grocery,1,3,10,0,0,441.74,313.41,462.74,0.955,29.1,251.5,1007.0,34.71,1.1,1.0,716,3.76,3,18,20.6,0.126,0,243.0,286.7,0.14,-1.2,1,15,0,75
2021-07-30,FMCG,3,7,30,0,0,513.96,315.01,461.32,1.114,38.7,202.5,733.0,26.97,1.0,1.0,532,2.38,4,346,19.7,0.0,1,188.8,188.8,0.12,-1.5,0,0,0,71
2023-04-13,Fashion,0,4,15,0,0,4143.45,2381.74,4152.73,0.998,42.5,5.0,20.2,0.71,1.0,1.0,44,5.23,14,338,61.6,0.0,1,5.0,5.8,0.28,-2.0,1,8,0,73
2021-11-29,Grocery,1,11,48,0,0,324.32,213.4,351.55,0.923,34.2,72.8,296.6,10.47,1.4,1.0,182,3.32,1,59,17.4,0.0,1,73.3,83.0,0.14,-1.2,1,11,0,78
2021-02-20,FMCG,3,2,7,0,1,749.02,386.03,847.27,0.884,48.5,198.1,815.1,28.93,1.0,1.0,425,2.34,3,230,14.7,0.0,1,202.5,202.5,0.12,-1.5,0,0,0,75
2023-04-24,Electronics,2,4,17,0,0,17947.62,11542.78,15501.77,1.158,35.7,35.4,112.5,4.04,1.0,1.0,61,1.74,20,492,15.1,0.0,1,28.3,28.3,0.32,-1.8,0,0,3,64
2022-07-01,FMCG,3,7,26,0,0,384.43,207.99,441.76,0.87,45.9,150.3,599.4,20.67,1.0,1.0,126,1.02,3,115,6.1,0.0,1,144.7,144.7,0.12,-1.5,0,0,0,71
2023-02-23,Grocery,1,2,8,0,0,59.54,40.85,62.3,0.956,31.4,81.2,274.7,10.27,1.0,1.0,316,4.57,1,57,30.8,0.0,1,71.9,82.3,0.14,-1.2,1,12,0,82
2022-04-01,Grocery,1,4,13,0,0,151.62,113.23,147.5,1.028,25.3,143.3,564.9,20.37,0.9,1.0,251,1.54,1,55,12.3,0.0,1,142.6,142.6,0.14,-1.2,0,0,0,73
2023-08-01,Grocery,1,8,31,0,0,434.89,280.35,495.97,0.877,35.5,67.8,265.7,9.31,1.0,1.0,191,3.58,2,22,20.5,0.0,1,65.2,71.5,0.14,-1.2,1,8,0,79
2022-04-02,FMCG,3,4,13,0,1,519.67,270.07,446.79,1.163,48.0,165.8,705.5,25.24,0.95,1.0,1632,7.38,2,158,64.7,0.0,1,176.7,205.9,0.12,-1.5,1,11,0,70
2022-11-04,Fashion,0,11,44,1,0,3521.16,1811.8,3204.81,1.099,48.5,124.7,421.9,15.94,1.8,2.2,518,3.01,9,251,32.5,0.0,1,111.6,131.7,0.28,-2.0,1,9,0,73
2022-12-21,Grocery,1,12,51,1,0,238.51,131.73,207.92,1.147,44.8,201.0,715.9,26.8,1.5,1.8,4808,19.65,3,35,179.4,0.805,0,187.6,248.4,0.14,-1.2,2,27,-1,50
2022-11-10,Seasonal,4,11,45,0,0,4788.18,1943.73,4760.18,1.006,59.4,10.2,33.0,1.03,2.5,0.75,55,2.71,7,149,53.5,0.0,1,7.2,7.2,0.55,-2.5,0,0,0,68
2022-06-19,Electronics,2,6,24,0,1,1477.78,885.14,1485.63,0.995,40.1,5.9,22.7,0.87,1.0,1.0,14,2.19,12,662,16.1,0.0,1,6.1,6.1,0.32,-1.8,0,0,0,75
